input,target
"In 2004 , Sholay was digitally remastered and shown again [LINE_GAP] in India , including Mumbai 's Minerva , where it had run successfully 29 years earlier .","In 2004 , Sholay was digitally remastered and shown again to packed theatres in India , including Mumbai 's Minerva , where it had run successfully 29 years earlier ."
"An attempt to remake Sholay , Ram Gopal Va_ma 's film Aag ( 2007 ) , starring Amitabh Bachch_n as the villain , was a commercial and critical disaster .","An attempt to remake Sholay , Ram Gopal Varma 's film Aag ( 2007 ) , starring Amitabh Bachchan as the villain , was a commercial and critical disaster ."
"Because of television and home media , Sholay is widely availa_le and still popular .","Because of television and home media , Sholay is widely available and still popular ."
"Twenty years after its [WORD_GAP] , [WORD_GAP] was first shown on [WORD_GAP] Indian [WORD_GAP] [WORD_GAP] television channel , where it drew the highest ratings ever for a film broadcast .","Twenty years after its release , Sholay was first shown on the Indian DD National television channel , where it drew the highest ratings ever for a film broadcast ."
Sholay [LINE_GAP] subject of two books and many articles .,Sholay has been the subject of two books and many articles .
"Sholay has been labelled [WORD_GAP] Chopra as the gold standard in Indian cine_a , [WORD_GAP] a reference point for audiences and trade analysts .","Sholay has been labelled by Chopra as the gold standard in Indian cinema , and a reference point for audiences and trade analysts ."
"Over the years , the film has reached a mythic stature in popular [LINE_GAP] and has been called the greatest Hindi film of all time .","Over the years , the film has reached a mythic stature in popular culture , and has been called the greatest Hindi film of all time ."
"( 1994 ) , [LINE_GAP] throughout India , and are viewed as definitive Hindi films with cultural significance .","( 1994 ) , which are repeatedly watched throughout India , and are viewed as definitive Hindi films with cultural significance ."
"[LINE_GAP] can be divided into Sholay BC and Sholay AD "" .","Indian film history can be divided into Sholay BC and Sholay AD "" ."
"The [LINE_GAP] jointly released in Pakistan by Geo films and Mandviwalla Entertainment on 17 April 2015 , almost 40 years after its theatrical release .","The film was jointly released in Pakistan by Geo films and Mandviwalla Entertainment on 17 April 2015 , almost 40 years after its theatrical release ."
The film 's premiere in the [WORD_GAP] [WORD_GAP] held in Karachi .,The film 's premiere in the country was held in Karachi .
Filmmaker Ketan Mehta 's compa_y Maya Digital was responsible for converting Sholay into the 3D format .,Filmmaker Ketan Mehta 's company Maya Digital was responsible for converting Sholay into the 3D format .
Mehta [LINE_GAP],Mehta was approached by G.
"Sippy 's grandson , Sasha [WORD_GAP] [WOR__GAP] about the project in 2010 .","Sippy 's grandson , Sasha Sippy , about the project in 2010 ."
"In March 2012 [WORD_GAP] Shaan Ut_am Singh , the grandson of producer G.","In March 2012 , Shaan Uttam Singh , the grandson of producer G."
Adam [LINE_GAP] September 1978 – 10 August 2010 ) was an English professional footballer who played as a striker .,Adam Stansfield ( 10 September 1978 – 10 August 2010 ) was an English professional footballer who played as a striker .
"He competed professionally for [WORD_GAP] Town , Hereford United and Exeter [WORD_GAP] , [WORD_GAP] won promotion from the [WORD_GAP] [WORD_GAP] to The [WORD_GAP] [WORD_GAP] [WORD_GAP] all three [WORD_GAP] [WORD_GAP]","He competed professionally for Yeovil Town , Hereford United and Exeter City , and won promotion from the Football Conference to The Football League with all three teams ."
"At the age of 23 , he signed his first professional contract wi_h Yeovil Town , after impressing t_eir manager Gary Johnson in a mat_h against them .","At the age of 23 , he signed his first professional contract with Yeovil Town , after impressing their manager Gary Johnson in a match against them ."
"In his first season , he helped th_m win the FA Trop_y , scoring in the 2002 fin_l .","In his first season , he helped them win the FA Trophy , scoring in the 2002 final ."
"[WORD_GAP] following [WORD_GAP] , Yeovil won the Conference and promotion into The Football League , alth_ugh Stansfield was ruled out with a broken leg in the first game .","The following season , Yeovil won the Conference and promotion into The Football League , although Stansfield was ruled out with a broken leg in the first game ."
He al_o helped Exeter earn promotion into League One in 2008 .,He also helped Exeter earn promotion into League One in 2008 .
Stansfield was diagnosed with c_lorectal [WORD_GAP] in April 2010 .,Stansfield was diagnosed with colorectal cancer in April 2010 .
"He returned to training a_ter surgery and chemotherapy , but died on 10 August that year .","He returned to training after surgery and chemotherapy , but died on 10 August that year ."
A foundation in his name was posthumously set up [LINE_GAP] to provide sporting opportunities and raise awareness of colorectal cancer .,A foundation in his name was posthumously set up by his family to provide sporting opportunities and raise awareness of colorectal cancer .
He has posthumously been featured on a Flybe airliner [LINE_GAP] currency in Exeter .,He has posthumously been featured on a Flybe airliner livery and tourist currency in Exeter .
"[WORD_GAP] was born in Plymouth , [WORD_GAP] , [WORD_GAP] [WORD_GAP] third of four children , and supported Nottingham [WORD_GAP] [WORD_GAP]","Stansfield was born in Plymouth , Devon , as the third of four children , and supported Nottingham Forest ."
"On 2 J_ne 2001 he married Marie , [WORD_GAP] whom he had three sons .","On 2 June 2001 he married Marie , with whom he had three sons ."
Devon journalist Ga_y Andrews remembered Stansfield [WORD_GAP] a man who wou_d spend time with his family after matc_es w_ile speaking to fans and the [WORD_GAP] .,Devon journalist Gary Andrews remembered Stansfield as a man who would spend time with his family after matches while speaking to fans and the press .
"He wrote [WORD_GAP] "" I had the ple_sure of interviewing Adam [WORD_GAP] a regular basis ...","He wrote that "" I had the pleasure of interviewing Adam on a regular basis ..."
"He played at county level for [WORD_GAP] , Leicestershire and [WORD_GAP] .","He played at county level for Worcestershire , Leicestershire and Devon ."
When his family settled back in Devon [WORD_GAP] joined Twyford Spartans [WORD_GAP] scoring 84 goals in 54 matches .,"When his family settled back in Devon he joined Twyford Spartans , scoring 84 goals in 54 matches ."
"He la_er moved to Elmore , where he attracted trials from Exeter City , [_ORD_GAP] Wanderers and Torquay United , all of [WORD_GAP] were unsuccessful .","He later moved to Elmore , where he attracted trials from Exeter City , Wolverhampton Wanderers and Torquay United , all of which were unsuccessful ."
"His si_lings joined the Ro_al Air Force and he thought of joining them , but continued searching for a breakthrough in professional football .","His siblings joined the Royal Air Force and he thought of joining them , but continued searching for a breakthrough in professional football ."
"In October 2001 , St_nsfield 's performances for [WORD_GAP] impressed Yeovil Town manager Gary Johnson to sign him .","In October 2001 , Stansfield 's performances for Elmore impressed Yeovil Town manager Gary Johnson to sign him ."
"He made his debut in the Conference [WORD_GAP] [WORD_GAP] November , playing the [WORD_GAP] of a [WORD_GAP] – 0 loss away to Southport [WORD_GAP]","He made his debut in the Conference on 9 November , playing the entirety of a 3 – 0 loss away to Southport ."
"His [WORD_GAP] goal came [WORD_GAP] 1 December , concluding a 3 – 1 victory at [WORD_GAP] Victoria .","His first goal came on 1 December , concluding a 3 – 1 victory at Northwich Victoria ."
"He scored twice in a fourth round replay at Doncaster Rovers , as Yeovil came from 0 – 3 down for an eventual 5 [LINE_GAP]","He scored twice in a fourth round replay at Doncaster Rovers , as Yeovil came from 0 – 3 down for an eventual 5 – 4 victory ."
In the f_nal on 12 May he scored the second goal of a 2 – 0 win over Stev_nage Boro_gh at the Millennium Stadium .,In the final on 12 May he scored the second goal of a 2 – 0 win over Stevenage Borough at the Millennium Stadium .
[WORD_GAP] was [WORD_GAP] confirmed to be [WORD_GAP] break of [WORD_GAP] tibia [WORD_GAP] fibula [WORD_GAP],It was later confirmed to be a break of the tibia and fibula .
He missed [WORD_GAP] remainder of the season [WORD_GAP] in which Yeovil won [WORD_GAP] Conference [WORD_GAP] be promoted to The Football League for the first time [WORD_GAP],"He missed the remainder of the season , in which Yeovil won the Conference to be promoted to The Football League for the first time ."
"He recovered [LINE_GAP] the next campaign , making his league debut on 16 August 2003 .","He recovered to feature in the next campaign , making his league debut on 16 August 2003 ."
"His first of six go_ls in the Third Division season came on 6 September , opening a 2 – 0 home win over Swansea City .","His first of six goals in the Third Division season came on 6 September , opening a 2 – 0 home win over Swansea City ."
"He scored 20 goals across the season , including two [LINE_GAP] March 2005 in a 6 – 0 win at Farnborough Town .","He scored 20 goals across the season , including two on 25 March 2005 in a 6 – 0 win at Farnborough Town ."
"On 12 June 2006 [LINE_GAP] his contract expired , Stansfield decided to remain in the Conference , joining Exeter City .","On 12 June 2006 , with his contract expired , Stansfield decided to remain in the Conference , joining Exeter City ."
"He [LINE_GAP] his aim was not to achieve promotion or reach a certain tally of goals , but to influence the club 's younger players .","He told local radio that his aim was not to achieve promotion or reach a certain tally of goals , but to influence the club 's younger players ."
He scored 10 goals in 37 league games as they won a second consecutive promotion into League One in the 2008 – 09 seas_n .,He scored 10 goals in 37 league games as they won a second consecutive promotion into League One in the 2008 – 09 season .
"In 2_05 , whi_e [WORD_GAP] in the Conference with Hereford , he was again called [WORD_GAP] for the tournament by [WORD_GAP] Paul Fairclough [WORD_GAP]","In 2005 , while back in the Conference with Hereford , he was again called up for the tournament by manager Paul Fairclough ."
Sta_sfield played in two matches as England won the tournament with three [WORD_GAP] .,Stansfield played in two matches as England won the tournament with three wins .
